"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"GNLY",0,0.959833043439151,0.814,0.426,0,"0","GNLY"
"RPS26",0,0.81698356308251,1,0.988,0,"0","RPS26"
"MTRNR2L12",8.3594000234845e-279,0.583328939421862,0.997,0.992,3.05962400259556e-274,"0","MTRNR2L12"
"TRAV9-2",4.34593646333308e-247,1.14639200353761,0.282,0.075,1.59065620494454e-242,"0","TRAV9-2"
"MT-ATP6",2.54204315936117e-246,0.505610709940034,0.992,0.972,9.30413216757783e-242,"0","MT-ATP6"
"HOPX",3.66467617441902e-222,0.640495402387023,0.741,0.433,1.34130812659911e-217,"0","HOPX"
"IER5L",4.66770542269838e-221,0.656563221566236,0.41,0.16,1.70842686176183e-216,"0","IER5L"
"IL32",4.01174464067558e-204,0.425260079485225,0.995,0.975,1.46833865593367e-199,"0","IL32"
"GZMA",7.7594304989169e-197,0.500352302448134,0.976,0.715,2.84002915690857e-192,"0","GZMA"
"HLA-C",2.15204650187709e-191,-0.425918725476227,0.997,0.993,7.87670540152035e-187,"0","HLA-C"
"PRF1",8.99553009196804e-180,0.465590096796754,0.86,0.578,3.29245396896122e-175,"0","PRF1"
"S100A4",3.59092536484424e-176,0.427748308739585,0.995,0.914,1.31431459278664e-171,"0","S100A4"
"SH3BGRL3",1.52488546469186e-172,0.362854053972211,0.999,0.982,5.58123328931868e-168,"0","SH3BGRL3"
"FOS",3.01972315935622e-170,-1.24688358483265,0.674,0.789,1.10524887355597e-165,"0","FOS"
"HLA-B",8.73257488430928e-169,0.254265503371021,1,0.999,3.19620973340604e-164,"0","HLA-B"
"NKG7",2.91101594700775e-160,0.469090382540784,0.991,0.782,1.06546094676431e-155,"0","NKG7"
"ASCL2",3.38344307261412e-154,0.560674146518483,0.332,0.135,1.23837399900749e-149,"0","ASCL2"
"IER2",1.26951026410346e-152,0.424583714702791,0.965,0.889,4.64653451764508e-148,"0","IER2"
"RPS10",1.45980989465555e-144,0.503255935051712,0.665,0.46,5.34305019542877e-140,"0","RPS10"
"S100A11",4.36761474595842e-134,0.513017961834539,0.729,0.528,1.59859067316824e-129,"0","S100A11"
"GADD45B",8.67831190119327e-133,0.501458708299971,0.848,0.708,3.17634893895575e-128,"0","GADD45B"
"KLRC4",2.70853171519154e-128,-0.585876146481527,0.127,0.355,9.91349693077256e-124,"0","KLRC4"
"KLRD1",3.31124167335452e-128,0.502580708100227,0.672,0.432,1.21194756486449e-123,"0","KLRD1"
"ITGB1",1.50083268999822e-126,0.432926880980811,0.879,0.66,5.49319772866248e-122,"0","ITGB1"
"CLIC3",7.85751945373742e-121,0.507741532978567,0.542,0.325,2.87593069526243e-116,"0","CLIC3"
"NPDC1",1.02453986622265e-119,0.45517537229874,0.379,0.192,3.74991836436151e-115,"0","NPDC1"
"MT-CYB",2.51965398036196e-119,-0.441181638723035,0.975,0.981,9.22218553352281e-115,"0","MT-CYB"
"BTN3A2",6.44703747880445e-119,-0.522811439297486,0.156,0.382,2.35968018761722e-114,"0","BTN3A2"
"PABPC1",1.51697830038928e-118,-0.410125689912062,0.953,0.959,5.55229227725479e-114,"0","PABPC1"
"CLIC1",7.67324417138021e-115,0.368420631992169,0.947,0.801,2.80848409916687e-110,"0","CLIC1"
