"","x"
"1","TRAV1-1"
"2","TRAV1-2"
"3","TRAV2"
"4","TRAV3"
"5","TRAV4"
"6","TRAV5"
"7","TRAV6"
"8","TRAV7"
"9","TRAV8-1"
"10","TRAV9-1"
"11","TRAV10"
"12","TRAV11"
"13","TRAV12-1"
"14","TRAV8-2"
"15","TRAV8-3"
"16","TRAV13-1"
"17","TRAV12-2"
"18","TRAV8-4"
"19","TRAV8-5"
"20","TRAV13-2"
"21","TRAV14DV4"
"22","TRAV9-2"
"23","TRAV15"
"24","TRAV12-3"
"25","TRAV8-6"
"26","TRAV16"
"27","TRAV17"
"28","TRAV18"
"29","TRAV19"
"30","TRAV20"
"31","TRAV21"
"32","TRAV22"
"33","TRAV23DV6"
"34","TRAV24"
"35","TRAV25"
"36","TRAV26-1"
"37","TRAV8-7"
"38","TRAV27"
"39","TRAV28"
"40","TRAV29DV5"
"41","TRAV30"
"42","TRAV31"
"43","TRAV32"
"44","TRAV33"
"45","TRAV26-2"
"46","TRAV34"
"47","TRAV35"
"48","TRAV36DV7"
"49","TRAV37"
"50","TRAV38-1"
"51","TRAV38-2DV8"
"52","TRAV39"
"53","TRAV40"
"54","TRAV41"
"55","TRBV1"
"56","TRBV2"
"57","TRBV3-1"
"58","TRBV4-1"
"59","TRBV5-1"
"60","TRBV6-1"
"61","TRBV7-1"
"62","TRBV4-2"
"63","TRBV6-2"
"64","TRBV7-2"
"65","TRBV8-1"
"66","TRBV5-2"
"67","TRBV6-4"
"68","TRBV7-3"
"69","TRBV8-2"
"70","TRBV5-3"
"71","TRBV9"
"72","TRBV10-1"
"73","TRBV11-1"
"74","TRBV12-1"
"75","TRBV10-2"
"76","TRBV11-2"
"77","TRBV12-2"
"78","TRBV6-5"
"79","TRBV7-4"
"80","TRBV5-4"
"81","TRBV6-6"
"82","TRBV7-5"
"83","TRBV5-5"
"84","TRBV6-7"
"85","TRBV7-6"
"86","TRBV5-6"
"87","TRBV6-8"
"88","TRBV7-7"
"89","TRBV5-7"
"90","TRBV7-9"
"91","TRBV13"
"92","TRBV10-3"
"93","TRBV11-3"
"94","TRBV12-3"
"95","TRBV12-4"
"96","TRBV12-5"
"97","TRBV14"
"98","TRBV15"
"99","TRBV16"
"100","TRBV17"
"101","TRBV18"
"102","TRBV19"
"103","TRBV20-1"
"104","TRBV21-1"
"105","TRBV22-1"
"106","TRBV23-1"
"107","TRBV24-1"
"108","TRBV25-1"
"109","TRBVA"
"110","TRBV26"
"111","TRBVB"
"112","TRBV27"
"113","TRBV28"
"114","TRBV29-1"
"115","TRBV30"
"116","TRBV20OR9-2"
"117","TRBV21OR9-2"
"118","TRBV22OR9-2"
"119","TRBV23OR9-2"
"120","TRBV24OR9-2"
"121","TRBV25OR9-2"
"122","TRBV26OR9-2"
"123","TRBV29OR9-2"
"124","TRAJ61"
"125","TRAJ60"
"126","TRAJ59"
"127","TRAJ58"
"128","TRAJ57"
"129","TRAJ56"
"130","TRAJ55"
"131","TRAJ54"
"132","TRAJ53"
